0,91,68
1,94,67
2,87,68
3,91,65
4,94,67
5,92,66
6,92,65
7,93,65
8,92,66
9,92,65
10,92,65
11,92,66
12,92,65
13,92,65
14,92,65
15,94,61
16,95,61
17,94,61
18,94,60
19,96,58
20,95,59
21,95,58
22,96,58
23,97,55
24,98,55
25,97,56
26,97,54
27,100,54
28,98,53
29,99,53
30,99,52
31,99,51
32,100,51
33,100,50
34,100,50
35,101,49
36,101,49
37,101,48
38,101,48
39,100,53
40,101,50
41,99,55
42,100,51
43,92,55
44,90,56
45,95,52
46,83,59
47,79,63
48,75,62
49,85,57
50,85,57
51,84,57
52,84,57
53,84,57
54,57,68
55,58,70
56,69,63
57,67,63
58,66,64
59,65,64
60,64,64
61,63,64
62,62,65
63,61,65
64,60,65
65,59,65
66,58,66
67,57,66
68,68,71
69,61,69
70,60,69
71,60,70
72,59,70
73,58,70
74,69,60
75,70,57
76,71,55
77,73,52
78,75,51
79,78,50
80,80,50
81,85,48
82,87,48
83,89,45
84,94,46
85,96,47
86,100,46
87,102,46
88,104,45
89,93,45
90,94,44
91,95,44
92,96,43
93,97,43
94,98,42
95,99,42
96,100,41
97,100,41
98,101,40
99,102,40
100,113,50
101,109,51
102,107,53
103,103,53
104,109,48
105,97,54
106,93,54
107,105,50
108,106,50
109,106,50
110,84,49
111,101,50
112,82,50
113,81,49
114,80,49
115,79,48
116,78,48
117,79,48
118,78,49
119,78,48
120,78,49
121,77,49
122,77,50
123,77,49
124,78,49
125,78,49
126,76,48
127,75,48
128,74,48
129,77,50
130,77,49
131,74,48
132,76,49
133,75,48
134,76,49
135,76,48
136,73,48
137,72,48
138,72,48
139,71,48
140,71,48
141,71,48
142,70,48
143,70,48
144,69,48
145,69,48
146,85,49
147,75,48
148,84,48
149,78,48
150,78,48
151,85,49
152,85,49
153,81,48
154,84,48
155,84,48
156,83,48
157,85,49
158,85,49
159,85,49
160,84,48
161,84,48
162,85,48
163,85,52
164,84,52
165,85,50
166,85,50
167,87,53
168,86,51
169,87,56
170,87,56
171,87,53
172,87,59
173,87,55
174,87,55
175,90,61
176,88,57
177,88,57
178,89,58
179,89,58
180,90,59
181,91,59
182,91,59
183,92,59
184,93,58
185,92,59
186,96,60
187,93,60
188,93,60
189,101,63
190,107,66
191,107,69
192,111,70
193,110,70
194,105,67
195,106,67
196,107,68
197,108,69
198,108,69
199,109,70
200,110,70
201,111,71
202,112,71
203,112,72
204,113,72
205,114,73
206,115,73
207,115,74
208,116,74
209,117,75
210,118,75
211,119,76
212,119,76
213,120,77
214,105,56
215,97,56
216,105,60
217,86,53
218,79,53
219,73,52
220,71,53
221,67,53
222,66,54
223,64,55
224,62,54
225,70,53
226,61,56
227,63,56
228,62,57
229,68,59
230,62,54
231,61,54
232,77,65
233,62,56
234,61,56
235,60,56
236,59,56
237,58,56
238,57,56
239,56,56
240,55,56
241,54,56
242,53,56
243,52,56
244,51,56
245,104,65
246,100,64
247,86,62
248,99,62
249,99,61
250,96,62
251,95,62
252,93,59
253,92,61
254,89,59
255,90,59
256,88,59
